Pheromone,Smell,
0,Undefined,
1,Blank,
1,Blank,
2,Blank,
3,Blank,
4,Blank,
5,Blank,
6,Blank,
7,Blank,
8,Blank,
9,Blank,
10,Blank,
11,Trail Marker,
12,Alarm,
13,Opposite Gender Attractor,
14,Fear,
15,Repellant,
16,Soother,
17,Gender Balancer,
18,Caste Balancer,
19,Caste Determiner,
20,Gender Change Trigger,
21,Caste Change Trigger,
22,Blinder,
23,Smell Blinder,
24,Royalty Marker,
25,Universal Compeller,
26,Dread,
27,Courage,
28,Shun,
29,Berserk,
30,Scatter,
31,Paralyze,
32,Freeze,
33,Rally,
"The Traveller game in all forms is owned by Far Future Enterprises. Copyright 1977 - 20016 Far Future Enterprises. Traveller is a registered trademark of Far Future Enterprises. Far Future permits web sites and fanzines for this game, provided it contains this notice, that Far Future is notified, and subject to a withdrawal of permission on 90 days notice. The contents of this site are for personal, non-commercial use only. Any use of Far Future Enterprises's copyrighted material or trademarks anywhere on this web site and its files should not be viewed as a challenge to those copyrights or trademarks. In addition, any program/articles/file on this site cannot be republished or distributed without the consent of the author who contributed it."