"Range","Text","Distance"
"0","Contact","0m"
"1","VShort","5m"
"2","Short","50m"
"3","Medium","150m"
"4","Long","500m"
"5","VLong","1000m"
"6","Distant","5000m"
"7","VDistant","50km"
"8","Orbit","500km"
"9","Far Orbit","5000km"
"The Traveller game in all forms is owned by Far Future Enterprises. Copyright 1977 - 20016 Far Future Enterprises. Traveller is a registered trademark of Far Future Enterprises. Far Future permits web sites and fanzines for this game, provided it contains this notice, that Far Future is notified, and subject to a withdrawal of permission on 90 days notice. The contents of this site are for personal, non-commercial use only. Any use of Far Future Enterprises's copyrighted material or trademarks anywhere on this web site and its files should not be viewed as a challenge to those copyrights or trademarks. In addition, any program/articles/file on this site cannot be republished or distributed without the consent of the author who contributed it."